country or territory,who_region,time,response,mean,standard_dev,95%HPDlow,95%HPDhigh,
Burundi,AFR,2020.000,strongly agree,82.46,13.41,49.62,96.37,
Cameroon,AFR,2015.833,strongly agree,66.00,15.46,38.52,93.37,
Cameroon,AFR,2016.333,strongly agree,67.70,16.95,34.43,94.85,
Cameroon,AFR,2018.250,strongly agree,58.81,6.97,45.49,73.50,
Cameroon,AFR,2018.333,strongly agree,57.96,1.59,54.79,61.02,
Cameroon,AFR,2018.417,strongly agree,59.14,6.81,47.09,74.10,
Cameroon,AFR,2018.500,strongly agree,56.50,8.15,42.46,72.76,
Cameroon,AFR,2018.583,strongly agree,56.62,10.39,37.08,76.91,
Cameroon,AFR,2018.667,strongly agree,54.41,11.41,34.91,78.06,
Cameroon,AFR,2018.750,strongly agree,54.24,13.08,28.03,77.57,
Cameroon,AFR,2018.833,strongly agree,55.85,13.14,30.37,79.12,
Cameroon,AFR,2018.917,strongly agree,54.88,15.23,27.49,81.11,
Cameroon,AFR,2019.250,strongly agree,57.96,19.34,24.78,91.00,
Cameroon,AFR,2019.583,strongly agree,61.07,21.05,24.31,95.12,
Cameroon,AFR,2019.750,strongly agree,62.51,21.35,20.91,94.30,
Cameroon,AFR,2019.833,strongly agree,63.30,21.12,25.19,94.33,
Cameroon,AFR,2019.917,strongly agree,64.53,21.07,26.55,94.71,
Cameroon,AFR,2020.000,strongly agree,64.46,20.14,27.73,94.14,
Chad,AFR,2015.833,strongly agree,60.52,15.22,34.64,89.26,
Chad,AFR,2016.333,strongly agree,63.58,14.92,36.70,91.06,
Chad,AFR,2018.250,strongly agree,72.65,12.04,48.19,91.47,
Chad,AFR,2018.333,strongly agree,70.83,10.42,48.77,86.18,
Chad,AFR,2018.417,strongly agree,70.38,9.52,50.40,87.50,
Chad,AFR,2018.500,strongly agree,66.36,9.61,46.61,84.30,
Chad,AFR,2018.583,strongly agree,65.28,8.16,47.86,79.24,
Chad,AFR,2018.667,strongly agree,60.15,6.47,46.93,71.19,
Chad,AFR,2018.750,strongly agree,57.45,1.86,53.78,60.90,
Chad,AFR,2018.833,strongly agree,56.81,7.31,42.40,70.64,
Chad,AFR,2018.917,strongly agree,54.96,9.66,35.21,71.32,
Chad,AFR,2019.250,strongly agree,58.62,16.37,26.33,86.23,
Chad,AFR,2019.583,strongly agree,66.64,16.89,32.67,93.59,
Chad,AFR,2019.750,strongly agree,68.62,16.21,37.55,95.96,
Chad,AFR,2019.833,strongly agree,69.09,16.54,37.44,95.62,
Chad,AFR,2019.917,strongly agree,70.58,15.31,39.27,95.82,
Chad,AFR,2020.000,strongly agree,69.34,15.53,38.76,96.28,
Comoros,AFR,2015.833,strongly agree,83.03,11.41,59.68,98.25,
Comoros,AFR,2016.333,strongly agree,82.54,11.74,57.95,97.84,
Comoros,AFR,2018.250,strongly agree,80.78,10.04,60.17,96.26,
Comoros,AFR,2018.333,strongly agree,79.60,9.41,58.82,94.14,
Comoros,AFR,2018.417,strongly agree,80.80,7.90,65.13,93.61,
Comoros,AFR,2018.500,strongly agree,79.69,6.69,67.32,92.00,
Comoros,AFR,2018.583,strongly agree,80.44,5.61,68.91,90.90,
Comoros,AFR,2018.667,strongly agree,78.81,4.60,70.16,86.73,
Comoros,AFR,2018.750,strongly agree,78.96,1.35,76.17,81.39,
Comoros,AFR,2018.833,strongly agree,78.70,4.81,69.24,87.46,
Comoros,AFR,2018.917,strongly agree,78.09,4.98,68.01,87.01,
Comoros,AFR,2019.250,strongly agree,75.19,11.55,52.23,93.46,
Comoros,AFR,2019.583,strongly agree,74.69,16.99,36.54,95.23,
Comoros,AFR,2019.750,strongly agree,76.14,17.91,35.18,95.58,
Comoros,AFR,2019.833,strongly agree,76.21,17.81,38.76,95.81,
Comoros,AFR,2019.917,strongly agree,77.25,17.80,39.12,96.07,
Comoros,AFR,2020.000,strongly agree,76.92,17.74,38.24,95.77,
Democratic Republic of the Congo,AFR,2015.833,strongly agree,66.37,1.57,63.48,69.38,
Democratic Republic of the Congo,AFR,2016.333,strongly agree,64.42,14.17,38.63,87.77,
Democratic Republic of the Congo,AFR,2018.250,strongly agree,65.49,16.07,36.86,93.32,
Democratic Republic of the Congo,AFR,2018.333,strongly agree,63.70,16.02,36.15,92.41,
Democratic Republic of the Congo,AFR,2018.417,strongly agree,65.25,15.66,36.48,91.17,
Democratic Republic of the Congo,AFR,2018.500,strongly agree,63.20,16.92,29.03,90.32,
Democratic Republic of the Congo,AFR,2018.583,strongly agree,64.65,16.26,31.57,92.82,
Democratic Republic of the Congo,AFR,2018.667,strongly agree,64.51,16.05,29.81,89.24,
Democratic Republic of the Congo,AFR,2018.750,strongly agree,65.73,16.27,32.37,92.20,
Democratic Republic of the Congo,AFR,2018.833,strongly agree,67.99,17.35,32.77,93.54,
Democratic Republic of the Congo,AFR,2018.917,strongly agree,69.56,16.64,37.47,92.86,
Democratic Republic of the Congo,AFR,2019.250,strongly agree,77.20,15.34,41.53,95.16,
Democratic Republic of the Congo,AFR,2019.583,strongly agree,80.76,13.04,54.70,98.28,
Democratic Republic of the Congo,AFR,2019.750,strongly agree,80.61,13.04,52.38,97.33,
Democratic Republic of the Congo,AFR,2019.833,strongly agree,79.72,13.04,52.09,97.42,
Democratic Republic of the Congo,AFR,2019.917,strongly agree,79.80,12.64,53.31,98.21,
Democratic Republic of the Congo,AFR,2020.000,strongly agree,78.31,13.20,51.97,97.12,
Ethiopia,AFR,2015.833,strongly agree,78.45,1.27,76.02,80.84,
Ethiopia,AFR,2016.333,strongly agree,72.97,10.71,52.82,89.77,
Ethiopia,AFR,2018.250,strongly agree,84.40,6.40,72.05,94.72,
Ethiopia,AFR,2018.333,strongly agree,84.62,5.22,74.13,93.53,
Ethiopia,AFR,2018.417,strongly agree,86.34,3.46,79.83,92.46,
Ethiopia,AFR,2018.500,strongly agree,85.94,1.11,83.74,88.05,
Ethiopia,AFR,2018.583,strongly agree,86.25,3.98,78.82,92.81,
Ethiopia,AFR,2018.667,strongly agree,84.99,4.88,74.69,92.49,
Ethiopia,AFR,2018.750,strongly agree,83.61,7.30,69.94,96.17,
Ethiopia,AFR,2018.833,strongly agree,83.69,7.10,70.62,95.93,
Ethiopia,AFR,2018.917,strongly agree,81.81,9.54,63.74,96.32,
Ethiopia,AFR,2019.250,strongly agree,76.99,12.71,53.16,96.82,
Ethiopia,AFR,2019.583,strongly agree,75.43,12.55,47.75,94.89,
Ethiopia,AFR,2019.750,strongly agree,76.23,11.32,52.67,92.98,
Ethiopia,AFR,2019.833,strongly agree,76.70,10.15,57.77,93.86,
Ethiopia,AFR,2019.917,strongly agree,77.63,10.83,55.82,93.15,
Ethiopia,AFR,2020.000,strongly agree,77.19,10.38,56.90,92.86,
Gabon,AFR,2015.833,strongly agree,52.11,18.36,18.90,83.53,
Gabon,AFR,2016.333,strongly agree,53.00,14.10,26.10,78.98,
Gabon,AFR,2018.250,strongly agree,40.86,11.24,19.33,61.67,
Gabon,AFR,2018.333,strongly agree,38.89,9.59,20.76,56.20,
Gabon,AFR,2018.417,strongly agree,40.75,8.37,25.40,56.26,
Gabon,AFR,2018.500,strongly agree,40.15,6.75,28.77,54.89,
Gabon,AFR,2018.583,strongly agree,41.92,1.65,39.02,45.35,
Gabon,AFR,2018.667,strongly agree,42.28,6.22,29.97,53.65,
Gabon,AFR,2018.750,strongly agree,43.99,7.23,30.37,58.02,
Gabon,AFR,2018.833,strongly agree,47.85,8.98,28.65,64.33,
Gabon,AFR,2018.917,strongly agree,49.76,11.52,28.01,71.30,
Gabon,AFR,2019.250,strongly agree,53.43,17.36,19.95,82.15,
Gabon,AFR,2019.583,strongly agree,52.38,18.46,20.20,87.60,
Gabon,AFR,2019.750,strongly agree,52.58,17.34,24.11,87.18,
Gabon,AFR,2019.833,strongly agree,52.13,17.17,22.81,86.02,
Gabon,AFR,2019.917,strongly agree,53.17,16.53,24.64,83.00,
Gabon,AFR,2020.000,strongly agree,51.40,16.19,22.21,81.27,
Gambia,AFR,2015.833,strongly agree,75.39,16.17,44.29,96.79,
Gambia,AFR,2016.333,strongly agree,72.96,17.46,39.47,97.21,
Gambia,AFR,2018.250,strongly agree,83.74,5.80,73.00,94.80,
Gambia,AFR,2018.333,strongly agree,82.91,5.11,73.80,92.85,
Gambia,AFR,2018.417,strongly agree,83.50,4.15,75.71,91.29,
